#.t	.in_39
#d	mm
11.0416667	0.0000000
11.0833333	0.0000000
11.1250000	0.0000000
11.1666667	0.0000000
11.2083333	0.0000000
11.2500000	0.0000000
11.2916667	0.0000000
11.3333333	0.0000000
11.3750000	0.0000000
11.4166667	0.0000000
11.4583333	0.0000000
11.5000000	0.0000000
11.5416667	0.0000000
11.5833333	0.0000000
11.6250000	0.0000000
11.6666667	0.0000000
11.7083333	0.0000000
11.7500000	0.0000000
11.7916667	0.0000000
11.8333333	0.0000000
11.8750000	0.0000000
11.9166667	0.0000000
11.9583333	0.0000000
12.0000000	0.0000000
12.0416667	0.0000000
12.0833333	0.0000000
12.1250000	0.0000000
12.1666667	0.0000000
12.2083333	0.0000000
12.2500000	0.0000000
12.2916667	0.0000000
12.3333333	0.0000000
12.3750000	0.0000000
12.4166667	0.0000000
12.4583333	0.0000000
12.5000000	0.0000000
12.5416667	0.0000000
12.5833333	0.0000000
12.6250000	0.0000000
12.6666667	0.0000000
12.7083333	0.0000000
12.7500000	0.0000000
12.7916667	0.0000000
12.8333333	0.0000000
12.8750000	0.0000000
12.9166667	0.0000000
12.9583333	0.0000000
13.0000000	0.0000000
13.0416667	0.0000000
13.0833333	0.0656500
13.1250000	0.1343300
13.1666667	0.0504400
13.2083333	0.0026100
13.2500000	0.0000000
13.2916667	0.0000000
13.3333333	0.0000000
13.3750000	0.0000000
13.4166667	0.0052200
13.4583333	0.0000000
13.5000000	0.0000000
13.5416667	0.0000000
13.5833333	0.0000000
13.6250000	0.0000000
13.6666667	0.0000000
13.7083333	0.0113100
13.7500000	0.0760800
13.7916667	0.0278200
13.8333333	0.0791300
13.8750000	0.1282600
13.9166667	0.2613300
13.9583333	0.4821700
14.0000000	0.1726000
14.0416667	0.0026100
14.0833333	0.0282500
14.1250000	0.3708600
14.1666667	0.0260900
14.2083333	1.0356500
14.2500000	1.6908800
14.2916667	2.0739100
14.3333333	1.7965200
14.3750000	0.8182600
14.4166667	0.6056500
14.4583333	0.9339200
14.5000000	0.2591400
14.5416667	0.3786900
14.5833333	0.2608700
14.6250000	0.0013000
14.6666667	0.1665100
14.7083333	0.0587000
14.7500000	0.0621700
14.7916667	0.1952300
14.8333333	0.0343500
14.8750000	0.0152200
14.9166667	0.3395800
14.9583333	0.0260800
15.0000000	0.1887000
15.0416667	0.7026300
15.0833333	0.1139100
15.1250000	0.0000000
15.1666667	0.0000000
15.2083333	0.0000000
15.2500000	0.0000000
15.2916667	0.0000000
15.3333333	0.0000000
15.3750000	0.0000000
15.4166667	0.0000000
15.4583333	0.0000000
15.5000000	0.0000000
15.5416667	0.0000000
15.5833333	0.0000000
15.6250000	0.0000000
15.6666667	0.0000000
15.7083333	0.0000000
15.7500000	0.0000000
15.7916667	0.0000000
15.8333333	0.0000000
15.8750000	0.0000000
15.9166667	0.0000000
15.9583333	0.0000000
16.0000000	0.0000000
16.0416667	0.0000000
16.0833333	0.0000000
16.1250000	0.0000000
16.1666667	0.0000000
16.2083333	0.0000000
16.2500000	0.0000000
16.2916667	0.0000000
16.3333333	0.0000000
16.3750000	0.0000000
16.4166667	0.0000000
16.4583333	0.0000000
16.5000000	0.0000000
16.5416667	0.0000000
16.5833333	0.0000000
16.6250000	0.0000000
16.6666667	0.0000000
16.7083333	0.0000000
16.7500000	0.0000000
16.7916667	0.0000000
16.8333333	0.0000000
16.8750000	0.0000000
16.9166667	0.0000000
16.9583333	0.0000000
